FLUSHSTAGES entries=1 bytes=126 enc_ms=5.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=359.1 lz4=false
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=2.6 lz4=false
FLUSHSTAGES entries=362496 bytes=80208286 enc_ms=241.8 lz4_ms=104.5 bloom_ms=53.7 crc_ms=21.9 write_ms=64.5 lz4=true
FLUSHSTAGES entries=354 bytes=3679 enc_ms=10.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=273408 bytes=60496047 enc_ms=234.6 lz4_ms=118.3 bloom_ms=40.9 crc_ms=16.5 write_ms=42.2 lz4=true
FLUSHSTAGES entries=267 bytes=2809 enc_ms=7.8 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60269553 enc_ms=237.5 lz4_ms=118.2 bloom_ms=40.0 crc_ms=16.4 write_ms=45.4 lz4=true
FLUSHSTAGES entries=266 bytes=2796 enc_ms=7.5 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60269737 enc_ms=170.4 lz4_ms=76.5 bloom_ms=35.5 crc_ms=14.4 write_ms=35.1 lz4=true
FLUSHSTAGES entries=266 bytes=2796 enc_ms=5.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=1 bytes=126 enc_ms=5.7 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=196.1 lz4=false
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=2.4 lz4=false
FLUSHSTAGES entries=304128 bytes=67293415 enc_ms=211.2 lz4_ms=92.5 bloom_ms=53.8 crc_ms=25.1 write_ms=47.6 lz4=true
FLUSHSTAGES entries=297 bytes=3107 enc_ms=8.8 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=274432 bytes=60722853 enc_ms=240.1 lz4_ms=104.0 bloom_ms=55.5 crc_ms=20.2 write_ms=36.0 lz4=true
FLUSHSTAGES entries=268 bytes=2818 enc_ms=5.1 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=274432 bytes=60722503 enc_ms=205.6 lz4_ms=88.6 bloom_ms=36.6 crc_ms=15.3 write_ms=34.8 lz4=true
FLUSHSTAGES entries=268 bytes=2817 enc_ms=5.8 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
